Time,Category,Side,Event,Score
2022/12/05 21:09:33,Admin,Both,Prepare,0
2022/12/05 21:09:59,Score,Black,Carrier Not Staying on the Ramp,-20
2022/12/05 21:10:04,Score,Black,Carrier Staying on the Ramp,10
2022/12/05 21:10:08,Score,Black,Occupying Site 0 for 1 minute,20
2022/12/05 21:10:11,Score,Black,Stay on the ramp,15
2022/12/05 21:10:12,Score,Black,Carrier Stepping over the Wall,-3
2022/12/05 21:10:17,Score,Black,Carrier Going Out of the Field,-30
2022/12/05 21:10:28,Score,Black,Carrier Going Out of the Field,-30
2022/12/05 21:10:29,Score,Black,Carrier Going Out of the Field,-30
2022/12/05 21:10:30,Score,Black,Deliberate striking or blocking the opponent,-20
2022/12/05 21:10:32,Score,Black,Carrier Going Out of the Field,-30
2022/12/05 21:10:33,Score,Black,Deploy a Soldier,5
2022/12/05 21:10:34,Score,Black,Deploy a Soldier,5
2022/12/05 21:10:35,Score,Black,Deploy a Soldier,5
2022/12/05 21:10:42,Score,Black,Deploy a Soldier,5
2022/12/05 21:10:45,Score,Black,Team Member Stepping into the Field,-100
2022/12/05 21:10:47,Score,Black,Deploy a General,10
2022/12/05 21:11:07,Score,Black,Occupy One Site,80
2022/12/05 21:11:11,Score,Black,Stay on the ramp,15
2022/12/05 21:11:13,Score,Black,Deploy a General,10
2022/12/05 21:11:19,Score,Black,Deploy a Soldier,5
2022/12/05 21:11:22,Score,Black,Occupy One Site,80
2022/12/05 21:11:24,Score,Black,Carrier Stepping over the Wall,-3
2022/12/05 21:11:26,Score,Black,Deliberate striking or blocking the opponent,-20
2022/12/05 21:11:27,Score,Black,Engineer Taking out a Bomb,-30
2022/12/05 21:11:28,Score,Black,Carrier Going Out of the Field,-30
2022/12/05 21:11:30,Score,Black,Deliberate striking or blocking the opponent,-20
2022/12/05 21:11:31,Score,Black,Carrier Stepping over the Wall,-3
2022/12/05 21:13:14,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/05 21:13:15,Score,Black,Team Member Stepping into the Field,-100
2022/12/05 21:13:17,Score,Black,Carrier Staying on the Ramp,10
2022/12/05 21:13:19,Score,Black,Deploy a Soldier,5
2022/12/05 21:13:22,Score,Black,Deploy a General,10
2022/12/05 21:13:37,Score,Black,Carrier Not Staying on the Ramp,-20
2022/12/05 21:17:14,Score,Black,Carrier Going Out of the Field,-30
2022/12/05 21:32:44,Score,Black,Deliberate moving the Soldier/General of other team in Site,-30
2022/12/05 21:32:56,Score,Black,Team Member Stepping into the Field,-100
2022/12/05 21:53:54,Score,Black,Occupying Site 0 for 1 minute,20
2022/12/05 22:01:42,Score,Black,Stay on the ramp,15
2022/12/05 22:01:44,Score,Black,Stay on the ramp,15
2022/12/05 22:01:45,Score,Black,Occupying Site 0 for 1 minute,20
2022/12/05 22:01:46,Score,Black,Occupying Site 0 for 1 minute,20
2022/12/05 22:01:48,Score,Black,Stay on the ramp,15
