Time,Category,Side,Event,Score
2022/12/16 20:53:15,Admin,Both,Prepare,12
2022/12/16 20:53:25,Admin,Both,Game,0
2022/12/16 20:53:29,Admin,Both,Start,0
2022/12/16 20:53:33,Score,Black,Deploy a Soldier,5
2022/12/16 20:53:34,Site,Black,4,1
2022/12/16 20:53:36,Score,Black,Deploy a Soldier,5
2022/12/16 20:53:36,Score,White,Deploy a Soldier,5
2022/12/16 20:53:37,Site,Black,4,1
2022/12/16 20:53:37,Site,White,2,1
2022/12/16 20:53:39,Score,White,Deploy a Soldier,5
2022/12/16 20:53:40,Site,White,4,1
2022/12/16 20:53:42,Score,Black,Carrier Going into the Restricted Area,-30
2022/12/16 20:53:48,Score,White,Carrier Going into the Restricted Area,-30
2022/12/16 20:53:51,Score,Black,Deploy a Soldier,5
2022/12/16 20:53:52,Site,Black,2,1
2022/12/16 20:53:52,Score,White,Deploy a Soldier,5
2022/12/16 20:53:52,Site,White,2,1
2022/12/16 20:53:54,Score,White,Deploy a Soldier,5
2022/12/16 20:53:55,Site,White,2,1
2022/12/16 20:53:57,Score,Black,Deploy a Soldier,5
2022/12/16 20:53:57,Score,White,Deploy a Soldier,5
2022/12/16 20:53:57,Site,Black,2,1
2022/12/16 20:53:57,Site,White,4,1
2022/12/16 20:53:59,Score,White,Carrier Going into the Restricted Area,-30
2022/12/16 20:54:00,Score,Black,Deploy a General,10
2022/12/16 20:54:01,Site,Black,2,3
2022/12/16 20:54:04,Score,White,Deploy a Soldier,5
2022/12/16 20:54:05,Site,White,2,1
2022/12/16 20:54:05,Score,Black,Deliberate moving the Soldier/General of other team in Site,-30
2022/12/16 20:54:09,Score,White,Engineer Taking out a Bomb,-30
2022/12/16 20:54:11,Score,White,Carrier Going into the Restricted Area,-30
2022/12/16 20:54:15,Score,White,Deploy a General,10
2022/12/16 20:54:15,Site,White,2,3
2022/12/16 20:54:23,Score,White,Deploy a Soldier,5
2022/12/16 20:54:24,Site,White,4,1
2022/12/16 20:54:25,Score,White,Deploy a Soldier,5
2022/12/16 20:54:26,Site,White,4,1
2022/12/16 20:54:27,Score,White,Carrier Going into the Restricted Area,-30
2022/12/16 20:54:35,Score,Black,Deliberate moving the Soldier/General of other team in Site,-30
2022/12/16 20:54:53,Score,Black,Engineer Taking out a Bomb,-30
